Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1836
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1978  139.9   74.7  121.5   35.1   31.9   60.8   73.8   81.2  120.8   55.4  122.9  198.0   317.2   188.5   215.9   299.1  1116.0
1979   91.4   31.2   98.8   85.3   95.5   55.1   53.3  138.7   79.4  132.3  166.8  128.2   320.5   279.6   247.2   378.5  1156.0
1980  112.9   98.6  113.5   19.9   34.7  114.1   91.6   87.1  128.8  142.9   89.1  143.1   339.7   168.0   292.8   360.8  1176.2
1981  107.6   73.3  131.0   45.2  144.9   86.4   81.2   42.3  174.1  150.8   93.7   94.7   323.9   321.2   209.9   418.6  1225.3
1982  106.4   90.5  114.0   24.2   66.4  118.6   21.1   93.5   98.2  125.6  163.1  144.9   291.7   204.6   233.1   386.9  1166.5
1983  121.0   48.1  116.4   56.4   81.7   51.2   22.9   34.5  111.6  136.1   40.8  140.8   314.0   254.5   108.6   288.5   961.5
1984  183.1  113.3   74.8   30.7   22.6   59.4   53.8   72.5  106.3  115.5  116.3  120.1   437.2   128.1   185.7   338.1  1068.3
1985   74.6   37.4   89.3   76.6   77.4   76.6  115.9  191.2  156.5   48.3   91.2   98.9   232.1   243.2   383.7   295.9  1133.7
1986  158.6    5.4  117.8  105.8  129.5   47.4   73.9  143.5    9.1  110.4  133.4  163.7   262.8   353.1   264.8   252.9  1198.5
1987   48.7   64.3  107.3   47.5   41.7   98.9   71.7  119.7   86.4  139.9   86.5   70.4   276.7   196.5   290.2   312.8   983.0
1988  179.4  113.9  139.8   40.8   47.1   48.1  134.0  131.0  112.1  144.9   58.5   92.5   363.8   227.7   313.1   315.5  1242.2
1989   75.0  102.4  124.9  106.7   32.7   58.3   43.8  117.0   54.7  145.7   51.2   77.6   269.9   264.2   219.2   251.5   989.9
1990  140.4  194.9   64.6   74.0   50.2  127.6   63.5   92.0   47.8  205.7   88.0  120.4   412.9   188.7   283.1   341.5  1269.0
1991  100.5   57.2  112.7  118.8   10.7   97.7   62.6   38.7   60.0  109.2  144.1  123.0   278.1   242.2   199.0   313.2  1035.1
1992   80.2   93.3  144.9  109.0   48.4   40.2   90.0  171.9   90.1   84.2  139.5   86.3   296.5   302.3   302.1   313.7  1178.0
1993  142.2   31.2   66.9  124.8  136.5   74.8  107.1   67.7  107.3   40.3   60.0  196.9   259.7   328.2   249.6   207.6  1155.7
1994  155.4  132.8  130.6   89.3   38.3   69.0   68.0   91.4   74.1   63.9   94.4  152.1   485.0   258.2   228.4   232.4  1159.3
1995  152.7  121.7  108.4   37.3   53.3   32.2   78.4   13.4   85.0  170.4  153.4   65.1   426.5   199.0   123.9   408.7  1071.1
1996  120.1  100.2   54.8  113.4   88.2   45.9   70.0  112.1   37.7  149.5  128.4   62.3   285.4   256.3   228.0   315.6  1082.6
1997   31.7  142.3   51.4   47.0  105.2   94.6   96.5   71.5   57.5   83.0  127.0  137.0   236.4   203.6   262.6   267.5  1044.7
1998  122.1   51.4   85.8  101.4   48.6  117.6  125.6   91.1   83.6  182.2  136.0  121.0   310.5   235.7   334.3   401.7  1266.3
1999  147.1   86.7   64.9   97.2   65.3   68.8   53.4   97.0  179.6   58.3  114.4  222.3   354.8   227.4   219.2   352.2  1255.0
2000   65.1  113.5   57.7  103.0   67.0   60.3   40.0  105.0  132.8  180.9  158.1  152.9   400.9   227.7   205.3   471.9  1236.3
2001   65.3   68.3   68.5   74.6   50.8   65.4   62.7  110.7   57.9  112.6   78.2   82.6   286.6   193.9   238.8   248.7   897.7
2002  126.9  165.4   73.4  102.2  135.6  119.7  105.1   57.1   42.3  200.9  191.9   89.6   374.9   311.2   281.9   435.0  1410.1
2003  107.5   68.8   48.3   52.4  127.9   86.4   94.0   22.8   65.5   52.4  115.3   95.8   266.0   228.6   203.3   233.2   937.1
2004  132.5   51.0   86.8   79.4   48.3  108.6   63.0  114.0  105.8  133.3   60.5  107.3   279.3   214.5   285.6   299.7  1090.5
2005  135.5   60.2   76.7   92.2  103.2   56.0   45.9   91.5   89.2  129.2   82.1  111.9   302.9   272.1   193.3   300.5  1073.5
2006   51.1   46.7  143.3   72.6  113.9   36.2   67.9   91.6  137.4  125.9  131.5  138.9   209.7   329.7   195.8   394.7  1156.9
2007  128.8   87.0   81.3   28.8   71.8  148.1  129.7  105.2   57.2   56.3   87.3  113.1   354.8   181.8   383.0   200.8  1094.5
2008  186.5   60.9  133.2   46.4   18.9   76.0  122.6  206.6  118.3  146.1   80.9   79.3   360.5   198.6   405.2   345.4  1275.8
2009  134.8   38.0   64.4  110.3  100.2   59.2  133.6  165.1   40.3  116.5  216.7   77.9   252.1   275.0   358.0   373.5  1257.1
2010   87.9   62.2  107.3   56.7   43.2   45.6  136.3   62.0  162.0   64.6  145.7   66.9   228.0   207.2   243.9   372.3  1040.4
2011   66.1  136.0   53.6   36.1  106.9  103.0   69.6   71.3  122.9  210.1  130.1  155.9   269.0   196.7   243.9   463.0  1261.6
2012  114.0   67.2   25.5   69.3   60.3  178.2  104.5  112.6  108.5  120.6   83.2  134.1   337.0   155.2   395.3   312.4  1178.0
2013  140.8   74.7   88.9   76.6  105.3   84.6   72.3   55.2   68.6  156.7   65.7  145.0   349.5   270.8   212.1   291.0  1134.4
2014  173.6  170.7   87.2   43.5   89.3   56.1   70.9  136.3    9.5  134.1  177.6  143.9   489.3   220.1   263.3   321.1  1292.6
2015  141.7   82.5   98.9   60.9  123.4   45.5  119.6  120.3   46.2   69.7  190.2  220.2   368.1   283.2   285.4   306.1  1319.1
2016  175.5  109.3   72.1   78.3   58.4   88.8   97.8   67.6   96.6   44.6   81.1   78.3   504.9   208.8   254.2   222.4  1048.4
2017   54.9   74.3  106.0   25.1   56.4  103.8  122.5  123.5  146.3  105.4  113.9  115.7   207.5   187.5   349.8   365.6  1147.9
2018  179.3   82.9   81.4   80.8   53.4   50.6   71.9   98.9   55.5   69.7  144.2  108.9   377.9   215.6   221.4   269.5  1077.5
2019   55.1   78.6  160.7   73.5   59.5  106.6   82.9  152.5  110.7   99.4  119.6  110.5   242.6   293.8   342.0   329.7  1209.7
2020   69.9  231.8   69.7   23.9   31.0  122.6  121.2  154.3   78.4  162.4  121.9  136.5   412.2   124.6   398.0   362.8  1323.6
2021  125.2  109.4   77.6   23.0  108.6   38.3   46.6  108.0   83.9  132.2   69.9  130.5   371.1   209.2   192.9   286.0  1053.3
2022   53.4  144.6                                                                         328.5                                
