Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland N
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1961  118.1  162.5  136.7   71.5   60.0  107.7  133.5  161.9  149.8  217.0  142.6  120.4   454.4   268.2   403.1   509.4  1581.7
1962  254.5  176.9   74.7   76.3  124.1  111.4   59.8  225.2  109.7  116.5   94.0  195.8   551.7   275.1   396.4   320.2  1618.7
1963   41.3   15.6  122.3   82.8  136.6   87.1   84.3  131.3  142.1  161.6  144.8   77.7   252.6   341.6   302.7   448.4  1227.4
1964   89.9   61.5   36.7  127.8  123.6   84.7  126.9  161.5  164.2  107.2  179.1  185.9   229.2   288.2   373.1   450.6  1449.2
1965  183.3   61.5   80.8  139.9   90.2  121.4  103.5  134.6  159.9  153.7  119.3  155.8   430.7   310.9   359.4   432.8  1503.7
1966   69.5  102.8  200.4   46.9  123.8  156.1   93.1   75.0  115.9  136.1  187.7  310.4   328.1   371.1   324.2   439.7  1617.7
1967  127.7  152.4  303.1   98.9   88.4   86.5  104.2  102.4  138.6  260.8  160.6  191.1   590.5   490.4   293.1   559.9  1814.6
1968  170.5   75.3  194.6   68.5   95.1   91.0  108.1   64.5   77.6  214.9   71.1   79.3   436.9   358.2   263.7   363.6  1310.6
1969  135.5   93.4   37.7   90.5   80.0   68.7  105.8  100.9  193.6  187.1  182.9  107.6   308.1   208.2   275.4   563.7  1383.7
1970   72.2  172.9  153.2  118.9   95.7   69.8  162.8  129.4  148.0  264.5  205.6  108.7   352.6   367.8   362.0   618.1  1701.6
1971  139.6  108.7  115.7   55.6   86.2   78.2   71.1   93.0   71.0  199.7  197.3  190.0   356.9   257.4   242.3   468.0  1406.0
1972  107.1   75.1   60.7  121.8   95.2  124.8   54.6  101.1   50.0   90.2  204.1  140.0   372.2   277.8   280.5   344.3  1224.9
1973  108.2  162.0  107.7  100.9  107.5  123.8   87.3  130.2  139.8   90.2  252.1  202.1   410.1   316.1   341.4   482.1  1611.8
1974  245.3  136.5   53.5    9.6   83.8   74.8  121.4  103.8  143.7  140.4  219.2  315.4   583.9   146.9   300.0   503.3  1647.4
1975  267.4   41.6   79.4  136.5   53.2   73.9  110.2   90.3  175.3   77.5  165.6  171.0   624.5   269.2   274.3   418.5  1442.1
1976  263.7  122.0  136.2   78.6   97.1   94.3   71.7   21.7  112.6  163.3  131.7   87.5   556.8   311.9   187.7   407.7  1380.5
1977  117.4   90.2  127.3  175.7   88.2   73.9   69.5   89.8  157.0  159.5  281.3   77.9   295.2   391.1   233.3   597.8  1507.7
1978  160.8   78.5  182.5   45.0   42.2   69.8   77.6   84.8  216.1  176.3  258.7   78.1   317.2   269.6   232.2   651.1  1470.4
1979  136.2   62.9  224.0  102.7  102.9  103.8  125.3  110.4  169.4  117.9  250.6  210.1   277.1   429.6   339.5   537.9  1716.1
1980  124.4   75.1   81.9   33.5   23.6  140.9  128.5  122.6  217.0  223.5  221.2  263.1   409.7   139.1   392.0   661.7  1655.5
1981  219.1  120.0  140.2   39.7   61.1  105.7   84.1   77.0  232.7  261.4  309.4   83.1   602.2   241.0   266.8   803.4  1733.4
1982  150.2  119.3  173.2   60.3  113.2   28.4   60.9  194.4  223.0  158.9  249.9  231.0   352.7   346.7   283.6   631.8  1762.7
1983  308.1   68.0  184.7   64.7   63.8   81.8   59.4   63.6  182.7  293.9   73.8  287.6   607.1   313.1   204.8   550.5  1732.1
1984  215.5  117.9   96.0   93.8   23.7   67.9   59.2   53.4  182.0  234.8  200.3  185.9   621.0   213.5   180.5   617.1  1530.5
1985   95.1   62.6  101.7  133.5   75.4   83.6  147.3  215.7  172.8  100.2  165.1  212.0   343.6   310.6   446.7   438.1  1565.1
