East Anglia,England E & NE,England NW & N Wales,England SE & Central South,S Wales & England SW,Midlands,Scotland E,Scotland W,Scotland N,N Ireland
84.4,93.9,137.6,84.1,157.8,111.9,109.6,132.8,136,139.4
15.9,39.8,139.4,23.2,79.1,30.6,165.7,257.3,213,160.9
39.4,77.4,143.1,71.8,112.8,70,137.2,174.8,185.5,148.4
19.9,32.5,76.6,37.4,79.2,39.1,82.6,136,108.2,78.3
97.5,117.5,191.9,132.7,174.4,83.6,172.9,212.3,259.1,99.3
33.6,44.4,87.9,43.8,96,46.1,77.6,127.2,123.5,62.5
40.4,53.6,113.6,59.5,116.7,59.7,145.3,197.4,151.5,134.3
12.3,29.6,27.1,16,32.1,16.7,52.3,60.9,72.1,37.2
81.3,97.1,112.5,112.5,135.9,99.2,114,108.3,100.3,97.5
44,43.4,111.9,55.8,98.7,59.4,71.6,128.7,102.2,92.6
63.9,64.7,114.3,88.2,88.3,93.4,99.9,135.4,120.3,91.1
54.9,71.5,103.6,58.4,103.5,66.9,119.7,121.3,141.4,88.8
43.6,61.1,120.9,47.8,95,60.5,91.8,158.7,135.6,113.4
64.5,73.9,99.4,55.3,80.3,56.5,103.7,114,103.1,64
51.4,60.5,93.4,50.6,104,84.2,63.1,74.5,80.7,51.2
66.4,76.4,192.2,130,189.8,97,147.5,271.2,245.6,137.3
33.8,29.2,57.7,26.6,52.1,25.2,55.6,87.3,113.9,78.6
42.6,49.7,138.8,57.5,113,50.3,130,233.9,188.6,123.6
58.5,99.8,159.5,89.7,141.8,91,150.3,251.7,274.1,106.3
11.7,21.7,56.3,23.3,41.7,20.1,58.5,140.4,148.3,37.6
21.8,36.9,42.4,22.7,58.8,23.7,53.9,79.7,96,61.3
22.7,36.4,66,21.5,51.4,33.8,82.1,139.7,156,57.4
22.2,35,70.4,44.6,56.9,28.6,53,97.7,85.4,71.6
76.3,81.2,110.2,103.1,127.5,104.1,89.5,124.6,97.2,111.2
22.1,33,42.6,20.8,32.7,27.9,17.7,17.8,34.8,16.7
47.9,82.8,123.5,65.5,117.6,76,131.5,149.3,188.4,116.5
64.2,77.8,182.4,91.9,143.1,85.1,116.8,193.1,235.4,112.3
59.6,92.8,180.1,86.1,178.6,96.5,104.9,155.4,132.4,165
58.4,73.5,137.5,51.6,115.9,64.4,81.9,158.8,154.3,99.4
26.6,49.8,98.7,51.1,81.9,41.9,106.1,222,259.2,82.7
19.7,31.4,80.7,33.4,82.4,32.4,75.7,142.3,102.7,63.8
26,52.8,77.6,32.5,58.3,47.1,99,111.1,171.2,48.6
71.3,68.5,96.6,80,78.9,69.1,96.5,144.3,135.7,96.8
14.3,32.4,49.6,35.8,39.4,38.1,39.7,77.8,63.5,64.8
53.8,52.1,65.9,44.1,37.5,49.2,55.8,52.8,71.9,53.3
37.4,47.3,96.7,34.4,64.7,43.1,66.4,111.5,111.6,89.6
16.9,20.2,53.1,12.5,33.2,19.5,71.3,95,86.6,47
24.3,33.2,72.6,31.3,44.5,28.1,39.6,76.7,85.6,62.6
46.6,58,132.6,71.7,121.5,68,129.7,208.9,183.8,94.5
28.1,109.1,83.4,43.7,73.7,60.1,174,110.5,165.5,69.6
58.3,72.4,122.7,95,126.3,69.9,130.3,152.3,135.6,137.2
19.7,68.5,99.6,33.1,90.9,50.8,112.7,160.4,173.2,58
