Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1836
Last updated 01-Mar-2022 11:06
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1971  110.8   53.1   77.2   52.0   67.5   59.5   91.8   82.1   34.9   89.7   89.3   67.8   225.2   196.7   233.3   213.8   875.6
1972  149.6  101.7   63.6   78.7  104.2   82.9   47.3   54.6   16.0   35.0   98.0   96.4   319.0   246.5   184.8   149.1   928.0
1973   70.5   42.3   32.7   69.7   81.5   55.4   82.5   72.2   61.7   60.9   82.8  109.4   209.2   183.9   210.0   205.4   821.5
1974  204.8   88.6   73.5   24.3   65.2   53.7   75.1   76.0   95.7   87.7  148.7  143.5   402.7   163.0   204.8   332.0  1136.7
1975  175.5   40.7   45.0   79.0   37.8   53.9   91.5   71.2  144.9   48.8   78.6   40.9   359.7   161.8   216.6   272.4   907.8
1976  113.2   59.4  110.7   40.7  109.1   34.9   53.1   24.3  146.9  199.8   84.3  100.2   213.5   260.5   112.3   431.0  1076.6
1977   96.7  128.9  112.6   76.0   63.6   72.1   46.8   93.8  101.1  133.1  134.7   82.4   325.8   252.2   212.6   368.9  1141.7
1978  126.6  109.6  120.6   65.4   41.8   52.4   86.1  100.7  104.4   42.9  123.0  200.7   318.6   227.8   239.2   270.3  1174.1
1979   75.2   25.6  139.6   82.8   93.5   54.8   73.6  113.6   55.2  135.7  121.7  156.4   301.5   316.0   242.0   312.5  1127.7
1980   98.3   91.4  115.2   12.3   26.3  119.4   87.0  108.2   94.2  118.8  130.4  125.5   346.1   153.8   314.6   343.4  1126.9
1981   81.5   60.7  124.3   23.6   73.9   73.9   74.1   21.5  179.5  152.8  125.0   80.4   267.6   221.8   169.5   457.3  1071.1
1982  112.1   78.1  110.6   34.0   67.2   59.6   41.6  109.7  147.1  196.1  151.5  136.1   270.6   211.8   211.0   494.7  1243.8
1983  140.5   52.2   92.8   77.3  124.1   71.0   24.6   28.7  135.7  132.8   29.7  149.7   328.8   294.2   124.3   298.2  1059.1
1984  180.1   78.7  126.8   23.6   27.7   56.6   45.4   30.8  127.2  138.9  262.4  112.7   408.5   178.1   132.8   528.5  1210.9
1985   84.3   23.5   87.1   89.7   76.1   91.2  144.4  184.2  157.6   46.0  115.0  144.6   220.4   252.9   419.8   318.5  1243.5
